RTO4_ID	UniProt
8620	A0A2T0AHT0
11076	A0A2S9ZX46
11779	A0A2S9ZVH4
14630	A0A2T0A8D5
9062	A0A2T0AJ21
9338	A0A2T0A1W9
9564	A0A2T0A2K5
16143	A0A2T0A5Z4
16246	A0A2T0A661
15681	A0A2T0A7X4
14176	A0A2T0AAX1
10259	A0A2T0A088
15479	A0A2T0A7B6
8381	A0A2T0AH29
16044	A0A2T0A5J4
12804	A0A2T0ACQ5
13215	A0A2T0ADX0
15442	A0A2T0A7A2
8396	A0A2T0AH43
8580	A0A2T0AHP3
16198	A0A2T0A612
12311	A0A2T0AFW3
10176	A0A2S9ZZX4
12718	A0A2T0AH48
10425	A0A2T0A0N3
11111	A0A2S9ZX84
13799	A0A2T0A9S7
16679	A0A2T0A428
16087	A0A2T0A5P5
16265	A0A2T0A671
10407	A0A2T0A0M8
13965	A0A2T0AAA2
13512	A0A2T0ABV3
10856	A0A2S9ZY44
12381	A0A2T0AG24
16568	A0A2T0A3Q3
16748	A0A2T0A476
12624	A0A2T0AGS4
12644	A0A2T0AGU5
10062	A0A2T0A1Q9
8704	A0A2T0AI01
9158	A0A2T0AJF6
13108	A0A2T0ADJ4
8837	A0A2T0AIE6
10842	A0A2S9ZY46
14944	A0A2T0A998
16816	A0A2T0A4E9
14784	A0A2T0A8T9
15564	A0A2T0A7M3
11230	A0A2S9ZXL9
11280	A0A2S9ZXS2
10846	A0A2S9ZY36
15894	A0A2T0A546
10964	A0A2S9ZYI4
10005	A0A2T0A1L4
9548	A0A2T0A2H2
15786	A0A2T0A4V8
13099	A0A2T0ADK2
8694	A0A2T0AHZ4
10333	A0A2T0A0E6
10166	A0A2S9ZZW4
16552	A0A2T0A3P1
15707	A0A2T0A4K6
15111	A0A2T0A693
11054	A0A2S9ZX23
10068	A0A2T0A1T6
9583	A0A2T0A2K9
13010	A0A2T0ADA5
12074	A0A2T0AF62
15477	A0A2T0A7D2
15567	A0A2T0A7L6
11042	A0A2S9ZYQ1
14519	A0A2T0A8D0
12909	A0A2T0AD18
15428	A0A2T0A763
13036	A0A2T0ADE9
14451	A0A2T0ABP7
13531	A0A2T0ABW8
13332	A0A2T0AE84
11392	A0A2S9ZWM7
11508	A0A2S9ZWZ0
10207	A0A2T0A024
10322	A0A2T0A0E1
10430	A0A2T0A0P8
9999	A0A2T0A1K6
13154	A0A2T0ADQ9
12342	A0A2T0AG12
12717	A0A2T0AH20
13027	A0A2T0ADC1
9892	A0A2T0A188
9567	A0A2T0A2I7
16467	A0A2T0A3H5
15710	A0A2T0A4L8
9666	A0A2T0A2T6
14673	A0A2T0A8H5
10057	A0A2T0A1R1
8839	A0A2T0AIC7
8844	A0A2T0AIE2
14792	A0A2T0A8Z3
13441	A0A2T0AEI5
12693	A0A2T0AH02
8403	A0A2T0AH65
9890	A0A2T0A1B2
10045	A0A2T0A1Q8
10266	A0A2T0A063
15833	A0A2T0A534
9436	A0A2T0A257
14584	A0A2T0A875
15734	A0A2T0A4P3
9715	A0A2T0A0Q6
14699	A0A2T0A8V2
13819	A0A2T0A9W0
10695	A0A2S9ZZH2
14276	A0A2T0AB66
10335	A0A2T0A0E3
12182	A0A2T0AFK5
12686	A0A2T0AGX6
8784	A0A2T0AI82
10597	A0A2S9ZZ80
9081	A0A2T0AJ29
15610	A0A2T0A7R0
9181	A0A2T0AJC6
11204	A0A2S9ZXH0
8968	A0A2T0AIW4
12870	A0A2T0ACW5
16681	A0A2T0A411
11981	A0A2T0AEZ5
10287	A0A2T0A0A6
9818	A0A2T0A144
15957	A0A2T0A5A4
12723	A0A2S9ZVF7
11707	A0A2S9ZWD0
10982	A0A2S9ZYI8
15132	A0A2T0A6D2
10732	A0A2S9ZZL6
9489	A0A2T0A2D4
15055	A0A2T0A9P6
11821	A0A2S9ZVN6
12738	A0A2T0ACI9
11481	A0A2S9ZWW8
10505	A0A2S9ZYY1
10544	A0A2S9ZZ35
9393	A0A2T0A223
16161	A0A2T0A5X2
13322	A0A2T0AE75
12205	A0A2T0AFL4
8928	A0A2T0AIS7
11636	A0A2S9ZW82
10378	A0A2T0A0I4
16391	A0A2T0A379
8987	A0A2T0AIU7
13848	A0A2T0AA45
11267	A0A2S9ZXN2
15038	A0A2T0A9I9
12562	A0A2T0AGM5
14414	A0A2T0ABK4
10457	A0A2S9ZYU7
9316	A0A2T0A1T7
14277	A0A2T0AB69
11615	A0A2S9ZW35
8921	A0A2T0AIM8
9154	A0A2T0AJB3
9535	A0A2T0A2G9
16547	A0A2T0A3P3
15678	A0A2T0A7V7
14293	A0A2T0AB90
9707	A0A2T0A0R6
12086	A0A2T0AF97
14687	A0A2T0A8J8
12286	A0A2T0AFT4
12453	A0A2T0AGC0
15077	A0A2T0A9P0
15069	A0A2T0A9U2
13948	A0A2T0AAD1
16684	A0A2T0A450
15860	A0A2T0A519
14562	A0A2T0A894
12447	A0A2T0AG89
8986	A0A2T0AIS9
10665	A0A2S9ZZE1
13890	A0A2T0AA42
15123	A0A2T0A6L6
11630	A0A2S9ZW47
12113	A0A2T0AFC0
13694	A0A2T0AC87
13109	A0A2T0ADL2
13269	A0A2T0AE19
12659	A0A2T0AGV0
13107	A0A2T0ADJ8
16830	A0A2T0A4P4
14985	A0A2T0A9G2
14588	A0A2T0A898
13845	A0A2T0A9Y5
13550	A0A2T0ABX3
10833	A0A2S9ZY38
12246	A0A2T0AFP7
10707	A0A2S9ZZJ1
16173	A0A2T0A615
14655	A0A2T0A8F6
10562	A0A2S9ZZ42
16767	A0A2T0A4B8
15281	A0A2T0A6R3
15504	A0A2T0A7F7
10410	A0A2T0A0M4
15513	A0A2T0A7P9
14913	A0A2T0A952
11812	A0A2S9ZVL1
11516	A0A2S9ZX03
13329	A0A2T0AE82
10895	A0A2S9ZY98
11817	A0A2S9ZVL8
9322	A0A2T0A1W6
15113	A0A2T0A6K6
15750	A0A2T0A4Q9
15794	A0A2T0A4U9
13646	A0A2T0AC61
12409	A0A2T0AG53
8962	A0A2T0AIS6
14788	A0A2T0A8U0
13693	A0A2T0ACA2
13298	A0A2T0AE40
11998	A0A2T0AEZ8
8502	A0A2T0AHG8
14863	A0A2T0A912
13865	A0A2T0AA15
13728	A0A2T0ACE7
13610	A0A2T0AC36
10147	A0A2S9ZZW1
11661	A0A2S9ZW79
8397	A0A2T0AH46
16847	A0A2T0A4K0
10074	A0A2S9ZZM5
14816	A0A2T0A8X8
9411	A0A2T0A245
13878	A0A2T0AA67
16798	A0A2T0A4C6
14413	A0A2T0ABL3
14444	A0A2T0ABN5
13549	A0A2T0ABV7
12771	A0A2T0ACL7
14433	A0A2T0ABN1
12519	A0A2T0AGG1
12866	A0A2T0ACZ8
12507	A0A2T0AGE8
8886	A0A2T0AIH9
15806	A0A2T0A4Y4
16700	A0A2T0A4B7
16021	A0A2T0A5I2
10711	A0A2S9ZZK4
15596	A0A2T0A7R1
9401	A0A2T0A235
14722	A0A2T0A8R2
16275	A0A2T0A679
15515	A0A2T0A7G0
14089	A0A2T0AAP1
10250	A0A2T0A064
12206	A0A2T0AFL1
10001	A0A2T0A1K0
16537	A0A2T0A3P0
9330	A0A2T0A1X2
13296	A0A2T0AE54
12442	A0A2T0AGB3
8439	A0A2T0AH74
9101	A0A2T0AJ46
11939	A0A2T0AET4
16833	A0A2T0A4G7
12172	A0A2T0AFJ4
8494	A0A2T0AHF2
8628	A0A2T0AHV6
13541	A0A2T0ABX2
12851	A0A2T0ACV0
12218	A0A2T0AFL5
8736	A0A2T0AI30
12719	A0A2S9ZVH0
15235	A0A2T0A6M5
8914	A0A2T0AIL2
14522	A0A2T0A857
11132	A0A2S9ZXC9
13257	A0A2T0AE02
11548	A0A2S9ZVW2
10832	A0A2S9ZY35
11714	A0A2S9ZWC9
10477	A0A2S9ZYW7
11072	A0A2S9ZX65
11245	A0A2S9ZXK8
15115	A0A2T0A6A4
9584	A0A2T0A2M5
11135	A0A2S9ZX85
11205	A0A2S9ZXG2
10946	A0A2S9ZYD1
16042	A0A2T0A5I6
11164	A0A2S9ZXD3
10169	A0A2S9ZZZ5
11493	A0A2S9ZWY2
16014	A0A2T0A5G4
11742	A0A2S9ZWG4
10841	A0A2S9ZY59
10634	A0A2S9ZZC5
15372	A0A2T0A728
15632	A0A2T0A7T5
15661	A0A2T0A7V5
13609	A0A2T0AC15
12751	A0A2T0ACJ4
8889	A0A2T0AIH6
13979	A0A2T0AAC1
14033	A0A2T0AAH7
16389	A0A2T0A390
12760	A0A2T0ACK4
8618	A0A2T0AHU6
9060	A0A2T0AJ26
13772	A0A2T0A9Q2
13843	A0A2T0A9Y1
13856	A0A2T0A9Z1
13584	A0A2T0ABZ1
11601	A0A2S9ZW18
10586	A0A2S9ZZ53
12934	A0A2T0AD27
16783	A0A2T0A4C0
15119	A0A2T0A6A6
15191	A0A2T0A6H6
15194	A0A2T0A6J8
12567	A0A2T0AGL1
9258	A0A2T0AJT4
14845	A0A2T0A8Z9
14177	A0A2T0AAW8
11978	A0A2T0AEX9
8688	A0A2T0AI14
9789	A0A2T0A0Z3
13944	A0A2T0AAA7
16755	A0A2T0A491
15989	A0A2T0A5N0
15309	A0A2T0A6V0
14826	A0A2T0A8Y8
11377	A0A2S9ZWL5
8503	A0A2T0AHG9
9991	A0A2T0A1J0
15697	A0A2T0A4J6
8706	A0A2T0AI03
12129	A0A2T0AFC2
15615	A0A2T0A7Q4
15603	A0A2T0A800
9057	A0A2T0AJ18
8519	A0A2T0AHE4
10480	A0A2S9ZYV6
10727	A0A2S9ZZK9
10102	A0A2S9ZZS3
16183	A0A2T0A624
16098	A0A2T0A5R0
10097	A0A2S9ZZQ9
12800	A0A2T0ACP1
12982	A0A2T0AD81
9817	A0A2T0A115
10371	A0A2T0A0K5
9986	A0A2T0A1K2
15329	A0A2T0A6X4
15942	A0A2T0A593
14730	A0A2T0A8N0
10944	A0A2S9ZYG6
10967	A0A2S9ZYI2
9461	A0A2T0A293
16488	A0A2T0A3G9
16631	A0A2T0A3W2
14690	A0A2T0A8J1
15487	A0A2T0A7E2
14972	A0A2T0A9I6
16162	A0A2T0A5W5
15317	A0A2T0A6X2
8737	A0A2T0AI51
9034	A0A2T0AIZ3
11324	A0A2S9ZXT4
16305	A0A2T0A312
12266	A0A2T0AFR6
12468	A0A2T0AGD5
12690	A0A2T0AH03
8541	A0A2T0AHI6
8665	A0A2T0AHV2
9152	A0A2T0AJB4
9282	A0A2T0AJN9
11726	A0A2S9ZWH0
14650	A0A2T0A8F5
14007	A0A2T0AAF6
12344	A0A2T0AG03
10774	A0A2S9ZXZ5
8413	A0A2T0AH75
10396	A0A2T0A0I8
9599	A0A2T0A2P0
11721	A0A2S9ZWE1
14152	A0A2T0AAU1
9877	A0A2T0A172
14312	A0A2T0ABB5
11284	A0A2S9ZXP5
9290	A0A2T0AJR4
13861	A0A2T0AA08
10142	A0A2S9ZZW2
9051	A0A2T0AJ00
16219	A0A2T0A6C5
14747	A0A2T0A8R1
14112	A0A2T0AAQ8
11015	A0A2S9ZYK8
12516	A0A2T0AGG3
10792	A0A2S9ZXZ3
16433	A0A2T0A3B3
16675	A0A2T0A413
10970	A0A2S9ZYK6
14409	A0A2T0ABL5
14244	A0A2T0AB42
11470	A0A2S9ZWV8
12610	A0A2T0AGR7
15336	A0A2T0A6Y4
9002	A0A2T0AIW3
9182	A0A2T0AJE4
13913	A0A2T0AA56
14022	A0A2T0AAG0
13289	A0A2T0AE38
12876	A0A2T0AD07
13101	A0A2T0ADJ5
10739	A0A2S9ZZM2
9842	A0A2T0A138
11902	A0A2S9ZVV4
11708	A0A2S9ZWD1
15234	A0A2T0A6P0
9591	A0A2T0A2M3
13274	A0A2T0AE30
14486	A0A2T0A801
14231	A0A2T0AB52
13590	A0A2T0AC19
12864	A0A2T0ACV9
16178	A0A2T0A5Y8
8378	A0A2T0AH58
13092	A0A2T0ADJ3
11329	A0A2S9ZXU0
15878	A0A2T0A540
16176	A0A2T0A5Y1
10446	A0A2S9ZYR9
14011	A0A2T0AAG2
14150	A0A2T0AAT9
9885	A0A2T0A192
13534	A0A2T0ABU8
11047	A0A2S9ZYR6
16797	A0A2T0A4F0
14143	A0A2T0AAT7
16078	A0A2T0A5N9
11475	A0A2S9ZWY8
12657	A0A2T0AGV4
11378	A0A2S9ZWK8
11366	A0A2S9ZWL4
10635	A0A2S9ZZB0
16669	A0A2T0A416
13140	A0A2T0ADP0
13478	A0A2T0AEL5
11371	A0A2S9ZWK5
12974	A0A2T0AD75
10893	A0A2S9ZYA2
9619	A0A2T0A2Q9
16424	A0A2T0A3C4
10521	A0A2S9ZZ18
16247	A0A2T0A649
16293	A0A2T0A2X5
14586	A0A2T0A8A4
14949	A0A2T0A9J2
13264	A0A2T0AE20
14937	A0A2T0A997
12460	A0A2T0AGB1
8492	A0A2T0AHF8
9024	A0A2T0AIY5
13076	A0A2T0ADI6
13205	A0A2T0ADV9
10214	A0A2T0A023
15716	A0A2T0A4P0
16009	A0A2T0A5P9
16207	A0A2T0A619
13831	A0A2T0A9Z3
11894	A0A2S9ZVW7
12948	A0A2T0AD40
13452	A0A2T0AEJ8
11925	A0A2T0AES9
12445	A0A2T0AG99
9055	A0A2T0AIY7
9455	A0A2T0A283
13995	A0A2T0AAD0
14189	A0A2T0AAZ0
14871	A0A2T0A943
9534	A0A2T0A2H4
16001	A0A2T0A5F9
15382	A0A2T0A739
11598	A0A2S9ZW12
12762	A0A2T0ACL3
16611	A0A2T0A3U2
12727	A0A2T0ACH6
13487	A0A2T0AEN2
11355	A0A2S9ZWL9
9470	A0A2T0A2A8
15104	A0A2T0A699
9112	A0A2T0AJ74
14671	A0A2T0A8G9
8708	A0A2T0AI41
11621	A0A2S9ZW37
11376	A0A2S9ZWM4
11318	A0A2S9ZXR7
10775	A0A2S9ZXX4
16410	A0A2T0A3E7
16468	A0A2T0A3E8
10885	A0A2S9ZY89
13476	A0A2T0AEP0
12013	A0A2T0AF14
8710	A0A2T0AI26
11540	A0A2S9ZVV8
11645	A0A2S9ZW69
16035	A0A2T0A5J1
12365	A0A2T0AG20
9191	A0A2T0AJD9
9743	A0A2T0A0S6
10560	A0A2S9ZZ34
10105	A0A2S9ZZS1
15608	A0A2T0A7N6
15724	A0A2T0A4N3
11805	A0A2S9ZVL0
10484	A0A2S9ZYX3
10184	A0A2S9ZZY9
8804	A0A2T0AIA2
12170	A0A2T0AFH0
15952	A0A2T0A5A3
16262	A0A2T0A666
9398	A0A2T0A225
14735	A0A2T0A8N4
14105	A0A2T0AAP2
12487	A0A2T0AGC9
9588	A0A2T0A2L2
12675	A0A2T0AGW9
9251	A0A2T0AJJ0
14790	A0A2T0A8U3
13723	A0A2T0ACD1
14521	A0A2T0A823
14864	A0A2T0A918
13806	A0A2T0A9U9
13947	A0A2T0AA95
10979	A0A2S9ZYJ8
11029	A0A2S9ZYP5
12364	A0A2T0AG21
9009	A0A2T0AIV1
10091	A0A2S9ZZT0
11784	A0A2S9ZVI9
14480	A0A2T0A7Z5
11401	A0A2S9ZWN6
14317	A0A2T0ABB0
12888	A0A2T0ACX7
8743	A0A2T0AI34
8778	A0A2T0AIC0
15140	A0A2T0A6D5
14476	A0A2T0A7Y9
14960	A0A2T0A9A4
14286	A0A2T0AB79
14350	A0A2T0ABE8
9310	A0A2T0A1V0
14360	A0A2T0ABF8
13535	A0A2T0ABT8
11743	A0A2S9ZWE8
9501	A0A2T0A2D3
16326	A0A2T0A315
14053	A0A2T0AAK0
12759	A0A2T0ACK9
8380	A0A2T0AH40
16738	A0A2T0A465
8667	A0A2T0AHW9
11273	A0A2S9ZXQ2
11471	A0A2S9ZWV7
16241	A0A2T0A633
13439	A0A2T0AEJ1
14061	A0A2T0AAL5
12568	A0A2T0AGP0
12450	A0A2T0AG96
11586	A0A2S9ZW29
10000	A0A2T0A1L8
16698	A0A2T0A426
12288	A0A2T0AFU7
8697	A0A2T0AI04
16729	A0A2T0A477
8433	A0A2T0AH92
9269	A0A2T0AJK0
12145	A0A2T0AFE9
12222	A0A2T0AFP5
10886	A0A2S9ZY75
14362	A0A2T0ABG6
11660	A0A2S9ZW74
11965	A0A2T0AEX1
9522	A0A2T0A2H1
9582	A0A2T0A2N2
11062	A0A2S9ZX55
11841	A0A2S9ZVQ0
14068	A0A2T0AAR1
9661	A0A2T0A2U0
16516	A0A2T0A3K1
11008	A0A2S9ZYP6
8906	A0A2T0AIJ9
13388	A0A2T0AEC4
8473	A0A2T0AHD8
12609	A0A2T0AGP7
8650	A0A2T0AHV4
8976	A0A2T0AIR9
8672	A0A2T0AHY8
10273	A0A2T0A081
15801	A0A2T0A4V6
16201	A0A2T0A603
14063	A0A2T0AAL0
13228	A0A2T0ADW6
13446	A0A2T0AEL0
8479	A0A2T0AHA9
9044	A0A2T0AJ02
13193	A0A2T0ADT7
12009	A0A2T0AF00
12247	A0A2T0AFP0
12412	A0A2T0AG82
14048	A0A2T0AAP5
10714	A0A2S9ZZK3
13859	A0A2T0A9Z9
14093	A0A2T0AAN7
16823	A0A2T0A4F7
12100	A0A2T0AFA9
9300	A0A2T0A1U1
13803	A0A2T0A9T9
11080	A0A2S9ZX58
12115	A0A2T0AFB6
12479	A0A2T0AGC1
13797	A0A2T0A9S8
14222	A0A2T0AB11
10779	A0A2S9ZY00
11796	A0A2S9ZVJ4
11148	A0A2S9ZXB5
16445	A0A2T0A3E6
11384	A0A2S9ZWM3
11207	A0A2S9ZXF2
10352	A0A2T0A0G9
13968	A0A2T0AAG1
12859	A0A2T0ACW4
16425	A0A2T0A3C6
15772	A0A2T0A4S0
11422	A0A2S9ZWQ7
9049	A0A2T0AIY6
11339	A0A2S9ZXV0
14364	A0A2T0ABG8
12488	A0A2T0AGF4
14487	A0A2T0A7Z6
10399	A0A2T0A0N1
8493	A0A2T0AHG0
11672	A0A2S9ZW92
10058	A0A2T0A1S6
15048	A0A2T0A9J8
13125	A0A2T0ADN7
11755	A0A2S9ZWH5
12941	A0A2T0AD43
15035	A0A2T0A9L4
8377	A0A2T0AH26
9234	A0A2T0AJJ8
15611	A0A2T0A7Q6
14931	A0A2T0A9A8
15056	A0A2T0A9K5
14347	A0A2T0ABE7
13552	A0A2T0ABY2
13474	A0A2T0AEN5
12231	A0A2T0AFN7
15501	A0A2T0A7D7
8753	A0A2T0AI42
15743	A0A2T0A4T9
11959	A0A2T0AEU9
10776	A0A2S9ZXW9
10836	A0A2S9ZY26
9753	A0A2T0A0T6
9797	A0A2T0A0Z6
9346	A0A2T0A1W7
15216	A0A2T0A6L1
14071	A0A2T0AAM1
15965	A0A2T0A5C1
14351	A0A2T0ABE3
13496	A0A2T0AEQ9
11487	A0A2S9ZWX6
8629	A0A2T0AHS0
16158	A0A2T0A5W7
11340	A0A2S9ZXY7
10978	A0A2S9ZYM0
11880	A0A2S9ZVS2
9744	A0A2T0A0V6
9441	A0A2T0A274
11180	A0A2S9ZXH6
11391	A0A2S9ZWM6
10517	A0A2S9ZZ06
10178	A0A2S9ZZY7
9848	A0A2T0A174
15476	A0A2T0A7D3
9936	A0A2T0A1F4
15403	A0A2T0A7D4
14715	A0A2T0A8L6
14849	A0A2T0A996
15052	A0A2T0A9Q7
13492	A0A2T0AEN9
10652	A0A2S9ZZD1
11315	A0A2S9ZXT0
13673	A0A2T0AC85
15511	A0A2T0A7E6
12968	A0A2T0AD59
16165	A0A2T0A5X3
11584	A0A2S9ZW00
10473	A0A2S9ZYY2
10183	A0A2S9ZZY8
14572	A0A2T0A8A2
12785	A0A2T0ACN1
12370	A0A2T0AG19
11107	A0A2S9ZX75
14374	A0A2T0ABH6
10863	A0A2S9ZY70
10436	A0A2T0A0M5
15379	A0A2T0A723
15026	A0A2T0A9H7
13883	A0A2T0AA18
13925	A0A2T0AA64
13873	A0A2T0AA09
16060	A0A2T0A5L8
12803	A0A2T0ACQ4
12127	A0A2T0AFC4
9026	A0A2T0AIW7
9072	A0A2T0AJ31
9447	A0A2T0A270
9691	A0A2T0A2W9
14469	A0A2T0ABR7
12617	A0A2T0AGR2
8552	A0A2T0AHL5
10590	A0A2S9ZZ68
12998	A0A2T0AD88
12024	A0A2T0AF10
15861	A0A2T0A516
16125	A0A2T0A5S8
16013	A0A2T0A5L4
14916	A0A2T0A968
14310	A0A2T0ABA5
10491	A0A2S9ZYY6
13059	A0A2T0ADG2
13151	A0A2T0ADP5
12128	A0A2T0AFD3
12203	A0A2T0AFK9
12619	A0A2T0AGQ5
9208	A0A2T0AJM0
10172	A0A2S9ZZZ0
10348	A0A2T0A0E9
10527	A0A2S9ZZ14
9940	A0A2T0A1G2
15392	A0A2T0A749
16053	A0A2T0A5Q2
14096	A0A2T0AAM9
13538	A0A2T0ABU1
13364	A0A2T0AEB9
12217	A0A2T0AFL3
14993	A0A2T0A9D6
11480	A0A2S9ZWX4
10875	A0A2S9ZY72
10731	A0A2S9ZZM4
16560	A0A2T0A3X4
14103	A0A2T0AAP7
10904	A0A2S9ZYC4
12794	A0A2T0ACP6
11017	A0A2S9ZYM8
10680	A0A2S9ZZF8
14763	A0A2T0A8R0
13879	A0A2T0AA16
9838	A0A2T0A164
12549	A0A2T0AGJ1
16735	A0A2T0A473
15847	A0A2T0A4Z7
14701	A0A2T0A8K3
10156	A0A2S9ZZV6
9927	A0A2T0A1C5
16435	A0A2T0A3D6
9878	A0A2T0A1A0
10482	A0A2S9ZYV7
10063	A0A2T0A1R0
16727	A0A2T0A478
15789	A0A2T0A520
16105	A0A2T0A5Q9
16266	A0A2T0A678
10872	A0A2S9ZY74
10938	A0A2S9ZYI0
8747	A0A2T0AI59
8911	A0A2T0AIL9
13249	A0A2T0AE00
8705	A0A2T0AHZ1
9367	A0A2T0A1Z0
16812	A0A2T0A4E3
13936	A0A2T0AA77
8410	A0A2T0AH70
8445	A0A2T0AH91
9293	A0A2T0AJM3
14738	A0A2T0A8P3
11631	A0A2S9ZW45
10416	A0A2T0A0K4
14196	A0A2T0AAY8
12377	A0A2T0AG18
12818	A0A2T0ACR1
11322	A0A2S9ZXX2
12041	A0A2T0AF53
12235	A0A2T0AFP3
12883	A0A2T0ACY1
12350	A0A2T0AFZ5
12570	A0A2T0AGM9
15340	A0A2T0A6Y6
9846	A0A2T0A167
15398	A0A2T0A730
11916	A0A2T0AES6
12331	A0A2T0AFY2
8574	A0A2T0AHN1
15431	A0A2T0A765
15350	A0A2T0A6Z4
15578	A0A2T0A7K7
14601	A0A2T0A8A3
11619	A0A2S9ZW31
13056	A0A2T0ADG8
13482	A0A2T0AEM7
12233	A0A2T0AFN9
11034	A0A2S9ZYQ3
11575	A0A2S9ZVZ0
11416	A0A2S9ZWR4
11719	A0A2S9ZWC7
10508	A0A2S9ZYX9
16010	A0A2T0A5G8
15890	A0A2T0A550
13664	A0A2T0AC65
13746	A0A2T0ACF7
11754	A0A2S9ZWG9
15879	A0A2T0A5B7
9844	A0A2T0A145
15090	A0A2T0A9N7
11473	A0A2S9ZWW3
12230	A0A2T0AFN1
13120	A0A2T0ADL9
11753	A0A2S9ZWF9
10980	A0A2S9ZYL5
15172	A0A2T0A6H9
14524	A0A2T0A813
12824	A0A2T0ACS5
13490	A0A2T0AEP5
10056	A0A2T0A1S3
14800	A0A2T0A8V0
12598	A0A2T0AGS3
11333	A0A2S9ZXW6
9682	A0A2T0A2X9
11560	A0A2S9ZVX8
11876	A0A2S9ZVS6
16429	A0A2T0A3C8
9577	A0A2T0A2J6
15273	A0A2T0A711
11415	A0A2S9ZWS5
11182	A0A2S9ZXI0
16313	A0A2T0A2Z7
11228	A0A2S9ZXH7
12398	A0A2T0AG65
8481	A0A2T0AHC8
8854	A0A2T0AIF3
15058	A0A2T0A9K7
13776	A0A2T0A9S2
15856	A0A2T0A533
11734	A0A2S9ZWE7
12920	A0A2T0AD11
14516	A0A2T0A831
14243	A0A2T0AB33
13423	A0A2T0AEG2
11960	A0A2T0AEX6
13103	A0A2T0ADK1
9674	A0A2T0A2W3
13745	A0A2T0ACF4
11154	A0A2S9ZXC4
10712	A0A2S9ZZJ5
13990	A0A2T0AAD8
14253	A0A2T0AB45
12312	A0A2T0AFY0
12503	A0A2T0AGH0
8400	A0A2T0AH61
10326	A0A2T0A0C0
14045	A0A2T0AAH5
16564	A0A2T0A3S4
12326	A0A2T0AFX7
14391	A0A2T0ABH9
10432	A0A2T0A0P5
8372	A0A2T0AH34
12369	A0A2T0AG13
15753	A0A2T0A4V2
12634	A0A2T0AGT4
9301	A0A2T0A1T0
12131	A0A2T0AFE8
